/Users/youshaoxiao/.virtualenvs/py3/bin/python /Users/youshaoxiao/PycharmProjects/cluster_and_cloud_2018/1_vm_scripts/2_vm_setup/test.py
Connecting to Nectar
Connecting to Nectar finshed
Image id: ami-06427bcd, image name: Spark-Data-Snapshot
Image id: ami-77a915ba, image name: Spark-Master-Snapshot
Image id: ami-ed7382e4, image name: Ubuntu 16.04 Ruby 2.4.2
Image id: ami-51c17931, image name: FreeBSD 11.1 Ruby 2.4.2
Image id: ami-74903146, image name: NeCTAR Debian 8 (Jessie) amd64
Image id: ami-5d666e50, image name: NeCTAR Debian 9 (Stretch) amd64
Image id: ami-ae0e4df0, image name: NeCTAR Debian 7 (Wheezy) amd64
Image id: ami-78bc31e8, image name: NeCTAR CentOS 7 x86_64
Image id: ami-8514eb28, image name: NeCTAR Ubuntu 14.04 (Trusty) amd64
Image id: ami-62f0536e, image name: NeCTAR CentOS 6 x86_64
Image id: ami-ff1fab12, image name: NeCTAR Debian 7 (Wheezy) amd64
Image id: ami-256aad96, image name: NeCTAR Debian 8 (Jessie) amd64
Image id: ami-df5c7af2, image name: NeCTAR Debian 9 (Stretch) amd64
Image id: ami-8b2294be, image name: NeCTAR CentOS 7 x86_64
Image id: ami-71c9b77f, image name: NeCTAR Ubuntu 16.04 LTS (Xenial) amd64
Image id: ami-2fb5f952, image name: NeCTAR Debian 8 (Jessie) amd64
Image id: ami-674e468a, image name: NeCTAR CentOS 7 x86_64
Image id: ami-48dcde23, image name: NeCTAR Debian 7 (Wheezy) amd64
Image id: ami-3df084fa, image name: NeCTAR Debian 9 (Stretch) amd64
Image id: ami-b41661d3, image name: intersect sp
Image id: ami-c18eabfe, image name: NeCTAR Ubuntu 14.04 (Trusty) amd64
Image id: ami-cbb0b672, image name: NeCTAR Ubuntu 16.04 LTS (Xenial) amd64
Image id: ami-44ae1fa4, image name: NeCTAR CentOS 6 x86_64
Image id: ami-959b4af6, image name: EuAnnotation
Image id: ami-9c659f6c, image name: IndonesiaMapWeb
Image id: ami-fcf91c37, image name: 20170731 Ngangi Staging
Image id: ami-f702fb0c, image name: NeCTAR Trove MySQL 5.7 (Ubuntu 16.04 LTS amd64)
Image id: ami-6c84b0a2, image name: Cancer-20170723
Image id: ami-f51d4af2, image name: ends-snap4
Image id: ami-7b50e09a, image name: MG-Trusty-Setup3
Image id: ami-0f37cabb, image name: MG-Trusty-Setup2
Image id: ami-2bf08a70, image name: crams-racmon-frontend0617
Image id: ami-50694ed8, image name: NeCTAR Debian 9 (Stretch) amd64
Image id: ami-00c0fcea, image name: GVL 4.2.0 Beta 1
Image id: ami-c602e9cf, image name: dataportal-dev-nimbus
Image id: ami-231d5308, image name: LLAFINAL
Image id: ami-412ff358, image name: KIT418WorkernodeMirror
Image id: ami-64cf337d, image name: BTP-20170603
Image id: ami-06abad4d, image name: utas_ncforbes_freqCountWorkerV2
Image id: ami-a558ae95, image name: LLABaseUpdated
Image id: ami-d8d00ac2, image name: RAMPDEV-Nimbus
Image id: ami-d4b35d6d, image name: utas_ncforbes_freqCountWorker
Image id: ami-6fa8738a, image name: A4Base
Image id: ami-0958d925, image name: GRHANITE Windows 2016 Std Edition x64 (with cloudbase init)
Image id: ami-6e931517, image name: UAVProject
Image id: ami-e3cb07b2, image name: TPAC core.012 Ubuntu 16.04 LTS (Xenial) amd64 1493766454
Image id: ami-70d342d0, image name: TPAC rstudio.011 Ubuntu 16.04 LTS (Xenial) amd64 1493610909
Image id: ami-64f0ddcc, image name: Ubuntu 16.04 LTS (Xenial) amd64 + Docker
Image id: ami-2c835cce, image name: NewCostFunc
Image id: ami-26ca99d2, image name: NeCTAR Debian 7 (Wheezy) amd64
Image id: ami-5ccd0bad, image name: NeCTAR Debian 8 (Jessie) amd64
Image id: ami-a2830dd5, image name: NeCTAR Debian 8 (Jessie) amd64
Image id: ami-86f4a44c, image name: NeCTAR Ubuntu 16.04 LTS (Xenial) amd64
Image id: ami-df1ff7ec, image name: NeCTAR Ubuntu 14.04 (Trusty) amd64
Image id: ami-a9f647c0, image name: NeCTAR Ubuntu 14.04 (Trusty) amd64 (pre-installed murano-agent)
Image id: ami-b9c2c652, image name: NeCTAR CentOS 7 x86_64
Image id: ami-7b76aa3a, image name: NeCTAR CentOS 6 x86_64
Image id: ami-c6c7b39e, image name: NeCTAR CentOS 7 x86_64 (pre-installed murano-agent)
Image id: ami-c163b887, image name: NeCTAR Ubuntu 16.04 LTS (Xenial) amd64 (pre-installed murano-agent)
Image id: ami-cc1e4586, image name: NeCTAR Debian 7 (Wheezy) amd64
Image id: ami-5ca400e3, image name: NeCTAR Ubuntu 16.04 LTS (Xenial) amd64 (pre-installed murano-agent)
Image id: ami-732076fd, image name: NeCTAR Debian 7 (Wheezy) amd64
Image id: ami-5c7bcfd8, image name: CoreOS-alpha-v1367.5.0
Image id: ami-348d5ada, image name: My Own Ubuntu 16.04 LTS (Xenial) amd64
Image id: ami-40ced3ee, image name: NeCTAR Fedora 25 x86_64
